,date,seci,sz.000002,sz.000006,sz.000007,sz.000011,sz.000014,sz.000031,sz.000036,sz.000042,sz.000043,sz.000046,sz.000069,sz.000402,sz.000502,sz.000514,sz.000517,sz.000537,sz.000540,sz.000558,sz.000560,sz.000573,sz.000608,sz.000615,sz.000616,sz.000620,sz.000631,sz.000656,sz.000667,sz.000668,sz.000671,sz.000691,sz.000718,sz.000732,sz.000736,sz.000797,sz.000838,sz.000897,sz.000909,sz.000926,sz.000961,sz.000965,sz.002016,sz.002077,sz.002133,sz.002146,sz.002147,sz.002208,sz.002244,sz.002285,sz.002377
1,2010-11-01,1341.84,786.3543692,125.5705155,34.33649938,27.63210495,78.01071012,74.92408844,28.34762852,74.01812796,22.61231175,120.8098478,150.1536968,161.0419336,18.65244472,42.73632216,26.17503229,36.9708748,186.5492184,14.27826334,12.56375175,19.64857576,68.02524471,21.6186996,78.50844755,2.30951799,30.89916361,10.62157094,60.73749332,32.29074516,52.23340232,11.8111316,36.1736064,13.96395368,12.8505,9.8548065,23.19671868,30.87702,12.97817136,31.93243119,16.95574668,20.9658712,28.80683025,16.0326963,15.48439907,43.14041,37.272224,37.70278269,31.81821264,59.0128365,21.59
2,2010-11-02,1333.29,787.1700895,125.5705155,33.96904576,27.69599421,78.36022047,75.23454737,28.04412072,77.52401916,24.88277244,121.4911063,150.8456494,161.7092345,19.1043762,43.53513192,26.33106825,38.15151405,201.8146884,14.25894228,12.56375175,19.85239916,69.42021354,21.14656708,79.35111425,2.30951799,30.56913249,10.74494716,61.0916478,33.09027639,53.62703632,11.8111316,36.48146688,13.60506702,12.550655,9.9685705,23.48277687,29.20451475,12.68596098,31.99107661,17.55581394,21.03190544,29.15992725,15.3879498,15.38103192,43.465998,36.659194,38.00955879,33.08251248,58.58520725,20.71
3,2010-11-03,1309.41,802.6687752,126.2511145,34.25484302,28.30294218,76.96217907,74.92408844,27.67991136,74.9384244,24.03365706,124.7838559,153.498134,160.3746328,18.8989528,43.00259208,26.37007724,37.3756654,195.0875321,14.2009791,12.56375175,19.32245832,67.45084578,21.121718,80.3342254,2.30951799,30.28035526,10.49819472,60.56041608,32.72919777,54.01725384,11.8111316,37.1356704,14.0292058,13.10751,10.23876,24.1849197,27.31758575,12.40382682,31.81514035,17.18654178,20.89983696,30.484041,15.1730343,14.84352274,42.000852,35.3350492,37.61074986,32.42402298,58.05494698,20.46
4,2010-11-04,1335.66,795.3272925,126.2511145,35.96962658,28.23905292,77.10198321,75.44151999,28.2262254,74.98224804,24.90123147,124.897399,152.8061815,160.5970664,19.04274918,43.44637528,26.9162031,37.20700265,200.1328993,14.33622652,12.56375175,19.5670464,67.77907374,21.46960512,80.8960032,2.30951799,30.36286304,10.58792288,60.38333884,32.60024112,53.57129096,11.8111316,37.17415296,13.91501459,13.09680125,10.2245395,24.10690383,29.2473995,12.50458902,31.75649493,17.10961008,20.68522568,31.45505775,15.8177808,14.92621646,41.8054992,35.800952,37.70278269,32.7927771,57.54179188,21.16
5,2010-11-05,1352.12,794.5115722,129.31381,36.90867472,27.98349588,78.43012254,77.51124619,28.71183788,76.82284092,25.75034685,126.4870023,154.9973645,165.2681722,19.43305364,44.1564284,27.03323007,37.7129909,202.9790039,14.64536348,12.56375175,19.9746932,69.09198558,22.06598304,82.3004477,2.30951799,30.73414805,10.85710736,60.38333884,32.57444979,56.41430432,11.8111316,37.48201344,14.11077095,13.493025,10.210319,24.1849197,28.60412825,12.75649452,32.22565829,17.78660904,20.91634552,32.45549925,15.6458484,15.05025704,43.2380864,36.3894608,38.37769011,32.45036256,57.79836943,20.86583774
6,2010-11-08,1376.29,807.563097,134.4183025,37.1536438,28.97377941,80.17767429,78.44262298,29.98657064,83.7031524,25.87956006,126.4870023,160.071683,166.8252075,19.63847704,45.13275144,27.73539189,39.3996184,199.2273206,14.7806109,12.56375175,20.1785166,71.30752431,22.7369082,84.68800335,2.30951799,31.18794084,11.39547632,62.33118848,32.98711107,60.2049888,11.8111316,39.36765888,14.5185967,13.43948125,10.352524,24.4449726,28.7327825,13.22000064,34.21960257,18.74056212,21.2960424,32.51434875,15.8177808,15.36035849,44.0194976,36.8063212,39.11395275,33.4512666,59.0128365,21.34259728
7,2010-11-09,1380.59,774.934285,130.5048583,37.27612834,28.39877607,79.96796808,76.78684202,29.80446596,81.073734,24.80893632,123.1942527,155.4586662,162.5989689,20.00823916,45.84280456,27.306293,39.77067645,189.7834281,14.93517938,12.56375175,20.09698724,70.07666946,22.88600268,81.87911435,2.30951799,31.31170251,11.65344478,61.62287952,33.16765038,59.0900816,11.8111316,37.98228672,15.25268305,13.493025,10.494729,24.52298847,29.71913175,13.11923844,35.21657471,18.47899434,21.24651672,31.63160625,16.2046287,15.27766477,42.4241164,36.5120668,38.62311099,32.1342876,57.9865263,21.78892536
8,2010-11-10,1389.54,746.3840745,125.910815,36.3370802,27.4723818,78.08061219,75.33803368,29.80446596,78.35666832,24.84585438,116.9493827,149.6923952,159.9297656,19.55630768,44.8221032,26.9162031,38.0503164,187.7135339,14.56807924,12.56375175,19.85239916,68.27141568,22.8611536,79.35111425,2.30951799,30.44537082,11.30574816,60.91457056,32.11020585,57.4177208,11.8111316,36.63539712,15.02430063,13.7072,10.1960985,24.10690383,30.87702,13.39129638,33.60382566,17.43272322,20.76776848,31.63160625,16.047024,14.90554303,40.9264116,37.272224,37.85617074,31.2124023,57.09705746,21.92079502
9,2010-11-11,1381.49,748.8312354,125.7406653,35.9287984,27.37654791,78.15051426,75.33803368,29.50095816,77.96225556,24.29208348,117.4035551,150.0383714,160.1521992,19.3097996,44.42269832,26.9162031,37.3756654,187.9722707,14.3941897,12.56375175,19.9746932,68.02524471,22.41387016,79.07022535,2.30951799,30.23910137,11.11507582,60.73749332,31.9812492,56.69303112,11.8111316,36.63539712,14.38809246,13.7072,10.23876,24.13290912,29.63336225,12.93786648,36.97593731,17.26347348,21.39509376,31.425633,15.7747977,14.84352274,40.861294,37.4683936,37.85617074,31.44945852,56.2760093,22.60043096
10,2010-11-12,1296.95,695.8094159,115.021231,34.13235848,25.04458992,71.92923003,70.78463604,27.13359732,71.03812044,22.09545891,107.6388493,137.6985515,150.1426868,17.58424304,47.75107232,24.92674461,34.407201,171.9305903,13.31221034,12.56375175,18.42563536,63.34799628,20.20230204,72.7502251,2.30951799,30.23910137,10.55427482,57.01887128,30.12427344,51.8431848,11.8111316,33.40286208,13.67031914,13.02184,9.8832475,22.75462875,27.3604705,11.79925362,35.92031975,15.55558974,22.84784704,31.1313855,14.1987507,13.62379037,37.931002,34.9181888,34.69637691,28.7101422,52.99181666,22.60043096
