,DATE,sse180,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295.1,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
664,2013-10-08,0.011726475,-0.010004348,0.038077669,0.011487154,0.00952381,0.006666487,0.015867177,-0.001006021,0.050517017,0.100519486,0.011866252,0.012194742,0.004884854,0.00203739,0.010771424,0.0194431,-0.016648945,0.011487154,0.028283432,0.003460866,0.099942854,0.00351821,0.032848919,-0.004757715,0.036696517,0.016052466,0.004833633,0.004610083,-0.019321039,0.011085412,-9.03E-05
665,2013-10-09,0.00432383,0.011258195,-0.007443211,-0.001520885,-0.002358491,0.004384003,-0.004016972,0.004492681,-0.016467919,-0.011170602,-0.017813149,0.007191283,-0.00999126,0.012294726,0.002058727,-0.020845991,-0.008875043,-0.001520885,-0.011530378,-0.022029407,0.090846195,-0.00503409,0.099664432,-0.007827667,0.036115378,-0.005943113,0.031312848,-9.03E-05,-0.011294752,0.005656856,-0.003936424
666,2013-10-10,-0.013202277,-0.031773438,-0.005028542,-0.025878236,-0.007092199,-0.011226127,-0.022429298,-0.016513628,-0.006946294,-0.028101474,-0.024693879,0.009548284,-0.000999361,-0.025955352,-0.022963751,-0.018568531,0.09370589,-0.025878236,0.017608845,0.01438151,0.003497917,-0.015898761,-0.038008486,-0.010014656,0.099839849,-0.013546956,0.009626854,-0.008277405,-0.008588854,0.005624016,-0.007812278
667,2013-10-11,0.018837993,0.039446199,0.012316678,0.027850906,0.011904762,0.006666487,0.018726934,0.014752031,0.00286831,0.008555263,0.006075649,0.007069635,0.011738665,0.002062583,0.01966101,0.027595223,0.049875969,0.027850906,-0.000759166,0.017028132,-0.022642525,0.006334696,-0.014773423,0.037141234,0.004992322,0.028895237,-0.00864459,0.061230485,0.012766873,0.011710429,0.007691831
668,2013-10-14,-0.000286031,0.040565468,0.004811691,0.027091418,0.002352941,-0.004564543,0.021017909,-0.012887345,-0.026638943,-0.005804556,-0.00733261,0.018867076,0.01609678,-0.028733306,0.007083331,0.00691404,-0.011665833,0.027091418,-0.032888128,0.06793217,0.013978385,-0.009666193,0.04618424,0.078372684,0.008127176,0.018136739,-0.020150667,-0.02009027,0.029528912,0.100125713,-9.03E-05
669,2013-10-15,-0.002379413,0.002430209,-0.009846368,-0.007054058,-0.009389671,-0.006831843,0.020581565,-0.006571751,-0.006150876,0.011403983,0.008888406,-0.009392596,0.023803535,0.028291595,-0.002227022,-0.017211725,0.100104915,-0.007054058,0.003369938,-0.011909049,0.057345912,0.006355402,-0.039820405,0.001403223,0.004925404,0.003164409,0.028745301,0.099682973,-0.019268352,0.043883032,-9.03E-05
670,2013-10-16,-0.017516495,-0.051001646,-0.009942487,-0.018323089,-0.002369668,-0.009140044,-0.041862422,-9.03E-05,-0.023464254,-0.03134027,-0.02845512,-0.025911866,-0.018672811,-0.032706757,-0.019362219,-0.027308561,-0.000681636,-0.018323089,-0.02146958,-0.017366018,-0.027379695,0.029186949,-0.077373642,-0.00115546,-0.04001541,-0.02766529,-0.000946068,-0.099059342,-0.011263454,0.000661892,0.015353745
671,2013-10-17,-0.00399772,-0.003401528,0.017322665,0.015624016,0.002375297,-9.03E-05,-0.011979306,-0.012205834,0.003031478,-0.005955373,-0.003524729,0.011957923,-0.01902466,-9.03E-05,-0.003001478,0.000469327,-0.033818081,0.015624016,-0.002204435,-0.016317451,0.079758664,-0.031645826,0.019368275,-0.009687199,-0.018283902,-0.005928468,-0.001160934,-0.033271048,-0.014214564,0.002916119,-0.022903958
672,2013-10-18,0.004247567,-0.002748077,-0.002535258,0.022413246,0.002369668,-0.002373375,0.005257324,0.002739919,0.007171141,0.005809435,-0.002962183,-0.00961408,-9.03E-05,-0.000831285,0.004289292,0.015010401,0.099726019,0.022413246,0.0225086,0.032212135,0.099834786,0.014136439,-0.010878652,0.010245647,0.006527864,-0.013513089,0.043853996,0.009377186,-0.001522935,-0.028940026,0.007691831
673,2013-10-21,0.01713273,0.013900403,-0.004992231,0.008162825,0,0.006774719,0.003899092,0.012139269,0.005059061,0.014572487,0.024103278,0.016736653,0.003051561,0.00621303,0.012991125,0.002664551,0.100132447,0.008162825,-0.013902425,0.002572846,0.099841595,0.001267196,0.015849327,0.04189609,0.099843984,0.025419934,0.053092482,0.030390387,0.005648611,0.051607261,0.011492742
674,2013-10-22,-0.010337321,-0.024400388,-0.014868595,0.02310209,-0.007092199,-0.002362997,0.00388324,-0.012172054,-0.017508303,-0.011650964,0.002721878,0.021186326,-0.010381098,-0.013723284,-0.010850672,-0.015474885,-0.009199582,0.02310209,-0.047009038,-0.039930907,-0.031888742,-0.010031526,-9.03E-05,-0.027089656,-0.010251657,0.004884854,-0.005939363,-0.037632932,-0.005796404,0.062639004,-0.007723858
675,2013-10-23,-0.007904699,-0.009517879,-0.01009027,-0.034756937,-0.00952381,-0.006923983,-0.018559927,0.004613399,-9.03E-05,-0.014710153,0.005518255,-0.025553233,-0.018173453,0.020081564,-0.003716086,-0.009576877,-0.050141343,-0.034756937,-0.014785347,-0.067863437,-0.078145292,0.004473856,-0.080189362,-0.022163005,-0.021225536,-0.020717333,-0.041078699,-0.027277031,0.00134445,-0.041512431,-9.03E-05
676,2013-10-24,-0.00895309,-0.009607605,-0.007666028,-0.01528364,-0.012019231,-0.009264582,-0.029660162,-0.004771918,-0.017817069,0.020681243,-0.002321168,-0.007216161,0.001290945,-0.023524909,-0.017557519,-0.016428298,0.029479622,-0.01528364,0.013332549,-0.013443386,0.099840334,-0.009631388,-0.021634256,-0.006969032,0.010397083,-0.02199423,-0.027288634,-0.008595738,-0.007253594,0.0301582,-0.011628732
677,2013-10-25,-0.011865068,-0.040584436,-0.015357446,-0.019725614,-0.01703163,-0.011664344,-0.012555644,-0.001971738,-9.03E-05,-0.023346084,-0.006797928,-0.02162137,-0.026297167,-0.032711192,-0.005275455,-0.021281564,-0.068497581,-0.019725614,-0.031731182,-0.009112826,-0.05371803,-0.017062747,0.000827161,-0.014808885,-0.06052983,-0.01473282,-0.044866389,-0.056462819,-0.007305277,-0.000789326,-0.023436574
678,2013-10-28,-0.00017027,0.012069959,0.007661668,-0.007243346,0.004950495,0.00225165,0.009727402,0.000852237,-0.024506406,-0.00306646,-0.033855042,0.014579657,-0.011893858,-0.024896472,0.009589551,0.012782755,0.004394035,-0.007243346,-0.034284799,0.05529668,-0.038534714,0.000376366,0.099818071,0.04077089,0.053840854,-0.002712648,-0.017035693,0.023286353,0.027526009,-0.002888451,-0.004074334
