DATE,sse180,rate,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295.1,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
2011-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-05,-0.004069946,9.03E-05,0.058115065,-0.017993083,0.013552984,-0.015267176,-0.01106588,0.017015601,-0.003930516,0.003491392,0.014835103,-0.019110717,0.043717649,0.006740737,0.001017303,-0.018464179,0.002678602,-0.011095406,0.013552984,-0.023661601,-0.016737119,-0.008873757,-0.044241213,0.002883708,-0.018360324,-0.00509027,0.025616671,-0.006220538,-0.004539658,-0.01019128,0.016452327,-0.028832785
2011-01-06,-0.005541021,9.03E-05,0.006021266,-9.03E-05,0.035802053,0.001550388,-0.003789407,-0.021908452,-0.00548734,0.026319437,-0.018472623,0.082798727,0.008787858,-0.02368909,0.025079139,0.00318535,-0.028865157,-0.012701546,0.035802053,0.012400958,0.001421217,-0.01116692,-0.012131328,0.005840049,0.002235988,-0.005833271,-0.03100088,-0.052261948,0.003261685,0.00118524,-0.014736324,-0.014886817
2011-01-07,0.004735041,9.03E-05,-0.013757696,0.005118063,-0.03955129,0.015479876,0.012285968,-0.012636738,0.027041513,0.00060514,0.014891003,0.01289093,-0.01529027,-0.01519601,-0.037052364,0.016234357,0.019212438,0.005920248,-0.03955129,-0.026982424,-0.027255981,0.001253816,-0.021269091,-0.014828664,0.017026063,-0.000812292,-0.030837396,-0.004428665,0.012159173,0.006279157,-0.007935026,-0.012605915
2011-01-10,-0.017255031,9.03E-05,-0.030113365,-0.025997006,-0.01762534,-0.006097561,0.002354718,-0.012325564,-0.017448761,-0.029972132,-0.005625325,-0.000974053,0.002346773,-0.018801926,0.003551697,-0.012940201,0.040279665,-0.035937917,-0.01762534,-0.072170042,-0.008157288,-0.025593626,0.004196319,0.004397389,-0.03060938,-0.028630732,-0.00305499,-0.025417067,-0.02319258,0.004973021,-0.006332467,-0.014031968
2011-01-11,0.007461642,9.03E-05,0.013401793,0.007888453,0.022347262,0.027607362,0.019421925,0.002768234,0.012966566,0.055783656,0.022173181,-0.009820478,0.009634203,0.000222328,-0.01795489,0.005023631,0.001320764,-0.003963237,0.022347262,0.005282773,-0.024488143,0.012306424,-0.015334172,0.015546364,-0.004209128,0.011438179,-0.033988575,-0.003443162,0.007792613,0.020060864,0.001584772,0.001195077
2011-01-12,0.007474587,9.03E-05,0.024968461,0.034210522,-0.004080295,0.019402985,-9.03E-05,-0.005315923,0.005974931,0.025011494,-9.03E-05,0.013755197,0.037630436,0.00397223,0.002893956,0.012860701,-0.000935698,0.00613057,-0.004080295,-0.045746095,0.013375584,0.028934673,-0.005663025,-0.001556546,-0.013679635,-0.001928505,-9.03E-05,-0.018873561,0.012200233,0.002378866,-0.007197293,0.001193427
2011-01-13,-0.001246323,9.03E-05,0.006021266,-0.017947413,-0.02663008,-0.008784773,0.020244658,-0.003910709,-0.005365327,-0.015973791,0.012613904,0.010041889,-0.03876003,0.011114212,0.000618146,-0.003286617,-0.025051488,0.004546515,-0.02663008,0.03510973,-0.006417382,0.001231898,-0.02084577,-0.012571915,0.007097511,0.002856323,0.006373257,0.015624016,0.006532247,0.027003326,0.002014993,-0.005218475
2011-01-14,-0.016657156,9.03E-05,0.012058553,-0.007882478,-0.048958583,-0.008862629,0.006943728,-0.020703885,-0.011453906,0.00125472,-0.003674499,-0.004887479,0.009563793,-0.026252166,-0.048511621,-0.018413678,-0.001970513,-0.007013347,-0.048958583,-0.014927983,-0.045298802,-0.048945904,-0.027008456,0.004370697,-0.014065887,-9.03E-05,-0.039845622,-0.014998849,-0.015441147,-0.012080678,-0.036224724,-0.032306765
2011-01-17,-0.035138014,9.03E-05,-0.006841958,-0.039357286,-0.03957107,-0.026825633,-0.023373157,-0.06029585,-0.02614391,-0.086725596,-0.014478759,-0.052675721,-0.016823338,-0.063301395,-0.039667714,-0.02108887,-0.046895081,-0.057410177,-0.03957107,-0.028957543,-0.043438053,-0.042200404,-0.03799051,0.007311655,-0.034770608,-0.090064563,-0.033848232,-0.008656803,-0.033497842,-0.003731047,-0.040630811,-0.03870545
