sz.000667,sz.000608,sz.000002,sz.000668,sz.000402,sz.000691,sz.000560,sz.000573,
0.004960235,-0.001450814,0.034821447,0.007232757,0.012343123,0.027564597,-9.03E-05,0.027291986,
-0.010140521,0.039419267,-0.03459977,-0.00736006,-0.022897288,-0.001166696,-9.03E-05,-0.051262978,
0.002447801,0.037917594,-0.001295089,0.003978078,-0.000987936,0.044090764,-9.03E-05,0.007774899,
-0.010216852,-0.011453906,-0.011348814,0.007203085,-0.010871941,0.019517573,-9.03E-05,-0.043568531,
-9.03E-05,-0.011584523,-0.017577053,-0.008939828,0.019891565,-0.002114561,-9.03E-05,0.002240732,
0.00502482,-0.003966239,0.002393174,0.016955185,-0.006323574,0.018165308,-9.03E-05,0.004560893,
-0.017901975,-0.006575354,0.085789168,-0.004878778,0.000805788,0.049710527,-9.03E-05,0.020743063,
0.020635119,0.011659077,0.009795661,0.013943411,0.005281261,0.05019436,-9.03E-05,0.024853041,
0.004985872,0.001200053,-0.021551113,0.000700556,-0.007214046,0.026106659,-9.03E-05,-0.002302659,
0.002434983,-0.018131507,-0.011248408,-0.004831479,-0.003677714,-0.032660693,-9.03E-05,-0.011176745,
0.002428622,-0.007964286,0.048158757,0.025316638,0.01611135,0.009918829,-9.03E-05,0.032420941,
-0.002602833,0.007846238,-0.009741347,-0.003187444,0.005224168,0.016125946,-9.03E-05,-0.013119586,
-9.03E-05,-0.005339614,0.011903733,-0.002420367,0.017530875,0.029165049,-9.03E-05,0.02741248,
-0.002609162,0.006506036,0.026576397,-0.00125804,-0.000956071,-0.000951596,-9.03E-05,0.043806946,
0.01001074,-0.009264582,-0.011634282,0.005365693,0.005975588,-0.018193718,-9.03E-05,0.001961012,
-9.03E-05,0.007846238,-0.003739905,0.032855466,-9.03E-05,0.043807886,-9.03E-05,0.022427642,
0.00490973,0.007783746,-0.003020673,-0.009846368,0.030056155,-0.00597757,-9.03E-05,0.004914735,
-0.007552957,-0.013111103,-0.010744201,0.016582712,0.04087963,-0.033931218,-9.03E-05,-0.025986684,
0.004922261,0.007825297,0.009935723,-0.016117106,-0.012138463,-0.020230375,-9.03E-05,0.00195472,
0.004897261,0.027396641,-0.030237329,-0.001984209,0.007226803,-0.043879367,-9.03E-05,0.006032179,
-0.005053049,0.020291896,-0.008429921,0.002945783,-9.03E-05,-0.04962298,-9.03E-05,-0.046743414,
-0.007571567,0.018636322,0.031255296,-0.017116377,-0.036409883,-0.031555363,-9.03E-05,0.008420368,
0.027547921,-0.00254125,-0.000460915,0.00260411,0.043460819,0.024275212,-9.03E-05,0.038939266,
-0.024540148,0.002366732,-0.019370952,-0.017364742,-0.038613544,-0.006036752,-9.03E-05,0.008031557,
-0.015127864,0.019517573,-0.036007094,-0.002824645,-0.059355712,0.002900757,-9.03E-05,-0.002104369,
0.004998789,0.03115973,-0.004796152,0.034770678,0.004346287,0.004879909,-9.03E-05,0.047336572,
0.002441376,-0.011745282,-0.009546535,0.00331624,-0.001857054,0.028594201,-9.03E-05,-0.002980443,
-0.01019128,-9.03E-05,-0.016001169,-0.013292835,-0.012479651,-9.03E-05,-9.03E-05,-0.003955004,
-9.03E-05,-9.03E-05,0.002739156,-0.008500056,0.005286074,0.009525115,-9.03E-05,0.008639119,
-0.040906597,-0.041363855,-0.062565079,-0.063698597,-0.058913799,-0.04961408,-9.03E-05,-0.038551808,
0.005228879,0.040500136,-0.008688722,0.025434637,0.012220336,-0.014118326,-9.03E-05,-9.03E-05,
-0.005381275,0.061375451,-0.033481423,0.005529963,-0.023476613,0.012104852,-9.03E-05,-0.01609027,
0.002569304,-0.012339713,0.001704257,0.005099351,-0.007753105,0.008945875,-9.03E-05,-9.03E-05,
0.00521477,-0.01587381,0.005731494,-0.000884551,0.003770734,0.027770427,-9.03E-05,0.099503226,
-0.005367315,0.02969209,-0.060642362,-0.001680095,-0.011628732,0.002813893,-9.03E-05,0.053514166,
-0.01070035,0.007696159,-0.036583161,-0.010838678,-0.011763422,-0.004916525,-9.03E-05,-9.03E-05,
0.00527166,-0.001194023,0.007287988,0.004336289,0.012705006,0.003789458,-9.03E-05,0.014822011,
-0.005423603,-0.007825077,0.006257386,-9.03E-05,0.01059972,0.009571566,-9.03E-05,-0.0061404,
-0.013495096,-0.010112542,-0.015131512,0.001512294,-0.003936424,-0.03071228,-9.03E-05,-0.065307661,
0.002627121,-0.005714567,0.01715111,0.00390973,0.028867259,0.015704399,-9.03E-05,0.012002753,
-9.03E-05,-0.0068776,0.037197865,0.039351961,-0.00759496,-9.03E-05,-9.03E-05,-0.012038799,
-0.005510324,-0.02628617,-0.010361045,-0.020021278,-0.014267964,-0.007864808,-9.03E-05,0.028746939,
0.002634526,0.01745359,-0.017071402,-0.0345056,-0.008719225,0.013621777,-9.03E-05,-0.03083168,
0.002627121,0.030944213,-0.014005817,0.012060398,-0.003958742,0.028895237,-9.03E-05,0.000842566,
0.010749838,-0.005664406,0.008668854,-0.003691711,0.017385458,0.012116303,-9.03E-05,-0.009409934,
0.002590695,0.009999416,0.005698442,0.01115471,0.007543318,0.001765018,-9.03E-05,-0.058415764,
-9.03E-05,-0.011189049,0.00374666,-0.002870254,-9.03E-05,-0.012127307,-9.03E-05,0.002906733,
-0.00811166,-0.058451662,-0.013945979,-0.002479756,0.0008567,-0.008525134,-9.03E-05,-0.006066366,
0.005300566,-0.00485785,0.000878722,0.004700149,-0.002928492,-0.017103503,-9.03E-05,-0.019128346,
0.007952625,-0.014461527,-0.003962487,0.018582753,-0.001039036,-0.001051808,-9.03E-05,0.020338739,
-0.010728568,-0.006165604,-0.008836626,-9.03E-05,-0.014335284,0.002797122,-9.03E-05,-0.016106286,
-0.010842958,-0.020872666,-9.03E-05,-0.008670613,-0.01743131,-0.001049963,-9.03E-05,0.014151846,
-0.010959835,0.004903488,0.069027377,-0.020939995,-0.009894192,-0.047160395,-9.03E-05,-0.003099297,
-0.03031005,-0.033630643,-0.037229197,-0.034642299,-0.021872448,-0.050493496,-9.03E-05,-0.099687856,
0.002742591,0.001195077,-0.00961408,0.001574316,0.005982604,-0.02875269,-9.03E-05,-0.016850047,
-9.03E-05,0.046122824,0.005678961,0.003233369,0.021036491,-0.008833439,-9.03E-05,-0.01259027,
-0.008564846,-0.036900086,-0.015386637,-0.000504349,-9.03E-05,-0.008910557,-9.03E-05,-0.006994758,
0.011305741,0.010100813,0.003793225,0.001566731,0.013702833,0.016594936,-9.03E-05,0.014973461,
0.016811138,0.016303173,0.002811084,0.004872509,0.003796999,-0.015407557,-9.03E-05,0.011325255,
0.005449896,0.034649184,-0.002501071,-0.013258994,-0.003962487,0.002131952,-9.03E-05,-0.001218938,
0.002664551,0.025089586,-0.003956872,-0.002175341,0.005740634,0.013213499,-9.03E-05,0.001039674,
0.019140499,0.008096865,0.003306139,0.012028409,0.012470116,0.031638395,-9.03E-05,0.005553071,
