date,seci,rate,sz.000002,sz.000006,sz.000007,sz.000011,sz.000014,sz.000031,sz.000036,sz.000042,sz.000043,sz.000046,sz.000069,sz.000402,sz.000502,sz.000514,sz.000517,sz.000537,sz.000540,sz.000558,sz.000560,sz.000573,sz.000608,sz.000615,sz.000616,sz.000620,sz.000631,sz.000656,sz.000667,sz.000668,sz.000671,sz.000691,sz.000718,sz.000732,sz.000736,sz.000797,sz.000838,sz.000897,sz.000909,sz.000926,sz.000961,sz.000965,sz.002016,sz.002077,sz.002133,sz.002146,sz.002147,sz.002208,sz.002244,sz.002285,sz.002377
2010-11-02,-0.006371848,0.00009027,0.001037344,0,-0.010701546,0.002312139,0.004480287,0.004143646,-0.010706638,0.047365305,0.100408163,0.005639097,0.004608295,0.004143647,0.024229075,0.018691589,0.005961252,0.031934307,0.08183079,-0.00135318,0,0.010373444,0.020506634,-0.02183908,0.010733453,0,-0.010680908,0.011615628,0.005830904,0.024760383,0.026680896,0,0.008510638,-0.025700935,-0.023333333,0.011544012,0.012331839,-0.054166667,-0.022515528,0.001836547,0.0353902,0.003149606,0.012257406,-0.040214477,-0.006675567,0.00754717,-0.016447368,0.008136697,0.039735099,-0.007246377,-0.040759611
2010-11-03,-0.017910582,0.00009027,0.019689119,0.005420054,0.008413462,0.021914648,-0.017841213,-0.004126547,-0.012987013,-0.033352176,-0.034124629,0.027102804,0.017584097,-0.008253095,-0.010752688,-0.012232416,0.001481481,-0.020335986,-0.033333333,-0.004065041,0,-0.026694045,-0.028368794,-0.001175088,0.012389381,0,-0.009446694,-0.022964509,-0.008695652,-0.010911925,0.007276507,0,0.017932489,0.03117506,0.044368601,0.027104137,0.029900332,-0.064610866,-0.022239873,-0.005499542,-0.021034181,-0.006279435,0.045408678,-0.01396648,-0.034946237,-0.033707865,-0.036120401,-0.010492333,-0.019904459,-0.009051095,-0.012071463
2010-11-04,0.020047197,0.00009027,-0.009146341,0,0.050059595,-0.002257336,0.00181653,0.006906077,0.019736842,0.000584795,0.03609831,0.000909918,-0.004507889,0.001386962,0.007608696,0.010319917,0.020710059,-0.004512635,0.025862069,0.00952381,0,0.012658228,0.00486618,0.016470588,0.006993007,0,0.002724796,0.008547009,-0.002923977,-0.00394011,-0.008255934,0,0.001036269,-0.008139535,-0.000816993,-0.001388889,-0.003225806,0.070643642,0.008123477,-0.001843318,-0.004476276,-0.010268562,0.031853282,0.042492918,0.005571031,-0.004651163,0.013185288,0.002446982,0.011372868,-0.008839128,0.034213099
2010-11-05,0.012323496,0.00009027,-0.001025641,0.02425876,0.026106697,-0.009049774,0.017225748,0.027434842,0.017204301,0.024547049,0.034099333,0.012727273,0.014339623,0.029085873,0.020496224,0.016343207,0.004347826,0.013599275,0.014221073,0.021563342,0,0.020833333,0.01937046,0.027777778,0.017361111,0,0.012228261,0.025423729,0,-0.000791139,0.053069719,0,0.008281573,0.014067995,0.030253475,-0.001390821,0.003236246,-0.021994135,0.020145044,0.014773777,0.039568345,0.011173184,0.031805426,-0.010869565,0.008310249,0.034267913,0.016438356,0.017900732,-0.010441767,0.004458977,-0.013901808
2010-11-08,0.017875632,0.00009027,0.016427105,0.039473684,0.006637168,0.035388128,0.02228164,0.012016021,0.044397463,0.089560753,0.005017921,0,0.032738095,0.009421265,0.010570825,0.022110553,0.025974026,0.044722719,-0.01848311,0.009234828,0,0.010204082,0.032066508,0.030405405,0.029010239,0,0.014765101,0.049586777,0.032258065,0.01266825,0.067193676,0,0.050308008,0.028901734,-0.003968254,0.013927577,0.010752688,0.004497751,0.036334913,0.061874431,0.053633218,0.018153118,0.001813237,0.010989011,0.020604396,0.018072289,0.011455526,0.019184652,0.030844156,0.021012134,0.022848809
2010-11-09,0.003124342,0.00009027,-0.04040404,-0.029113924,0.003296703,-0.019845645,-0.002615519,-0.021108179,-0.006072874,-0.031413613,-0.041369472,-0.026032316,-0.028818444,-0.025333333,0.018828452,0.015732547,-0.015471167,0.009417808,-0.047402598,0.010457516,0,-0.004040404,-0.01726122,0.006557377,-0.033167496,0,0.003968254,0.022637795,-0.011363636,0.005473026,-0.018518519,0,-0.035190616,0.050561798,0.003984064,0.013736264,0.003191489,0.034328358,-0.007621951,0.029134533,-0.013957307,-0.002325581,-0.027149321,0.024456522,-0.00538358,-0.036242604,-0.00799467,-0.01254902,-0.039370079,-0.017391304,0.020912548
2010-11-10,0.006482736,0.00009027,-0.036842105,-0.035202086,-0.025191676,-0.032620922,-0.023601399,-0.018867925,0,-0.033513514,0.001488095,-0.050691245,-0.037091988,-0.016415869,-0.022587269,-0.022265247,-0.014285714,-0.043256997,-0.010906612,-0.02457956,0,-0.012170385,-0.025761124,-0.001085776,-0.030874786,0,-0.027667984,-0.029836381,-0.011494253,-0.031881804,-0.028301887,0,-0.035460993,-0.014973262,0.015873016,-0.028455285,-0.016967126,0.038961039,0.020737327,-0.045795171,-0.056619484,-0.022533023,0,-0.009725906,-0.02435724,-0.035303147,0.020819342,-0.019857029,-0.028688525,-0.015339233,0.006052142
2010-11-11,-0.005793284,0.00009027,0.003278689,-0.001351351,-0.011235955,-0.003488372,0.000895255,0,-0.010183299,-0.005033557,-0.022288262,0.003883495,0.002311248,0.001390821,-0.012605042,-0.008910891,0,-0.017730496,0.00137836,-0.01193634,0,0.006160164,-0.003605769,-0.019565217,-0.003539823,0,-0.006775068,-0.016865079,-0.002906977,-0.004016064,-0.012621359,0,0,-0.042345277,0,0.0041841,0.001078749,-0.040277778,-0.033860045,0.10034904,-0.009708738,0.030206677,-0.006511628,-0.016964286,-0.004160888,-0.00159109,0.005263158,0,0.007594937,-0.014379868,0.031004165
2010-11-12,-0.061194797,0.00009027,-0.0708061,-0.085250339,-0.05,-0.085180863,-0.07960644,-0.06043956,-0.080246914,-0.08881394,-0.090425532,-0.083172147,-0.082244427,-0.0625,-0.089361702,0.074925075,-0.073913043,-0.079422383,-0.085340675,-0.075167785,0,-0.07755102,-0.068757539,-0.098669623,-0.079928952,0,0,-0.050454087,-0.06122449,-0.058064516,-0.085545723,0,-0.088235294,-0.049886621,-0.05,-0.034722222,-0.057112069,-0.076700434,-0.088006231,-0.028548771,-0.098930481,0.067901235,-0.009363296,-0.099909173,-0.082172702,-0.071713147,-0.068062827,-0.083468395,-0.087102178,-0.058358663,0
2010-11-15,0.023933074,0.00009027,0,0.014792899,0.038277512,0.007653061,0.009718173,0.010233918,-0.002237136,0.016656385,0.015037594,0.01793249,0.016750419,0.016296296,0.010514019,0.033457249,0.012519562,0.010784314,-0.014296463,0.020319303,0,0.015486726,0.014248705,0.019680197,0.025096525,0,-0.055934516,0.01381509,0.02173913,0.007705479,0.024731183,0,0.008064516,-0.03221957,-0.026315789,0.033093525,0.060571429,0.014106583,0.000853971,0.036734694,-0.005934718,0,-0.029300567,0.041372351,0.042488619,-0.029184549,0.033707865,0.017683466,-0.011926606,-0.000968367,-0.043985637
