,date,sse180,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295.1,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
1642,2017-10-09,0.008189256,0.015180925,0.007317137,0.007392723,0.00947226,-0.005175016,0.015596005,0.02065337,0.013371268,-0.017610486,0.024706478,0.01725077,0.000526823,-0.003810047,0.00027022,-9.03E-05,0.02009107,0.007392723,0.014437575,0.032450406,0.024803798,0.004045906,0.034276872,0.009322258,0.017139684,0.007579912,0.010455185,0.002294942,0.013624016,0.036842876,0.007661668
1643,2017-10-10,0.000307392,-0.019281141,-0.011119682,-0.01224422,-0.016085791,-0.003497425,0.002483733,0.001443472,-0.007680403,-0.012435949,-0.014370318,-0.009559967,0.013477414,-0.032448702,-0.012702883,-9.03E-05,-0.006110912,-0.01224422,0.001103047,-0.001302391,0.038152624,-0.002308267,0.026652031,0.002803621,-0.038526752,0.004667104,-0.007287103,0.002289266,0.016820666,0.020198278,-9.03E-05
1644,2017-10-11,0.002512086,0.02132697,-0.007525214,-0.015811391,-0.008174387,0.001619132,-0.003941361,-0.003153057,-0.002002316,-0.007034714,-0.000895099,0.026678372,-0.004349473,-0.003305704,0.007209,-9.03E-05,0.033368051,-0.015811391,-9.03E-05,0.007191283,-0.011040992,-0.009299543,-0.009561462,0.00792512,0.002619757,-0.006719058,0.035429846,0.005844448,-9.03E-05,-0.018649704,-0.007782578
1645,2017-10-12,0.002740926,0.035115529,-9.03E-05,-0.018145826,0.012362637,-0.006916209,0.006353029,0.012582541,-0.011584523,0.023685954,0.015616536,-0.013125652,-0.007422992,-0.014283818,0.017663353,-9.03E-05,0.024191058,-0.018145826,-0.009625431,0.05051214,0.012491512,0.003114858,-0.001683895,-0.004861262,0.055315135,-0.013436314,-0.00289041,0.008169317,0.00434432,0.046285237,-9.03E-05
1646,2017-10-13,-0.00018577,0.001160043,-0.003835588,-9.03E-05,0.021709634,-0.001808483,0.011433418,-0.00653699,-0.004935231,-0.009653112,-0.011985591,0.005570107,0.002679813,0.00056418,-0.00507425,-9.03E-05,-0.000907709,-9.03E-05,0.001714784,0.009084042,-0.011024664,-0.003924136,0.028640775,0.049765914,0.019756081,0.009571566,-0.031329301,-0.000675408,-0.010024045,0.002061193,0.007661668
1647,2017-10-16,0.001762493,-9.03E-05,-9.03E-05,-0.007162406,0.01062417,-9.03E-05,-0.003887738,0.025482249,-0.008853659,-0.005607511,-0.003300543,-0.011347306,0.008810896,0.00579593,0.014578782,-9.03E-05,0.023362143,-0.007162406,0.006516337,0.016955185,-0.03928625,-0.019333375,-0.033449463,-0.00770062,-0.000718016,-0.016358213,0.0031706,-0.015312752,-0.001205097,-0.0258524,0.028114858
1648,2017-10-17,-0.001622527,-0.011828532,-0.007609067,-0.025731296,-0.017082786,0.0016309,0.004992322,0.005864326,0.003839003,-9.03E-05,0.002325189,-0.009577936,0.000822416,-0.026098072,-0.0050268,-9.03E-05,0.002574265,-0.025731296,0.004683,-9.03E-05,-0.001136295,-0.022327026,-0.010523657,-0.015427693,0.011844403,0.007691831,0.007493695,0.0189347,0.002141873,0.011809245,-0.025027926
1649,2017-10-18,0.00809197,0.020885216,-0.022817543,-0.033716001,-0.010695187,0.013655434,0.007495065,0.002869404,0.002845151,-0.007025083,0.029226999,0.001825439,0.023313985,-0.022119642,0.016564585,-9.03E-05,-0.009125614,-0.033716001,0.014755336,-0.007911499,-0.012655715,0.011949864,-0.0009013,-0.002270955,0.021014634,-0.014569034,0.058691092,0.000493161,0.019954273,0.006878371,0.00502482
1650,2017-10-19,-0.000288007,0.007582997,-0.027222053,0.013525464,0.006756757,0.003299561,-0.020165552,-0.000459138,0.00088534,-0.033609823,0.007322918,-0.029726981,-0.003357273,0.003322699,0.004440926,-9.03E-05,0.058102275,0.013525464,-9.03E-05,0.032567388,-0.020238732,0.000901138,-0.025252608,0.019266583,0.00659666,-0.018699477,0.007357259,0.00049282,0.007551651,-0.01825636,0.002454259
1651,2017-10-20,-0.002264986,0.002366129,0.019830049,0.058118685,0.013422819,-0.010225405,0.007592188,-0.012267392,0.010630978,0.010025337,-0.013258357,0.003850617,-0.006347719,0.029841703,-0.017439333,-9.03E-05,-0.000343691,0.058118685,-9.03E-05,-0.016447958,0.015602371,-0.004051974,0.016562519,-0.013260255,-0.029075777,0.008891766,-0.019915539,0.047695278,-0.006590812,0.01268506,-9.03E-05
