,date,sse180,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295.1,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
1153,2015-10-08,0.026247767,0.033459514,0.025261843,0.034392489,0.032200358,0.0315553,0.034500925,-0.002341255,0.032450406,0.021540346,0.013739517,0.027842691,0.065330291,0.039435422,0.014402484,0.049117875,0.099818489,0.034392489,0.048535523,0.032422045,0.047121499,0.040902802,0.099770065,0.008621616,0.030814807,0.06150973,0.031119093,0.043548005,0.021427284,-9.03E-05,0.029495529
1154,2015-10-09,0.013568612,-0.002882591,0.016393246,0.006576397,0.005199307,0.028539587,0.018146812,0.012882093,0.008394578,-9.03E-05,0.000959048,0.010779295,0.00450455,0.029567525,0.01960085,0.003952857,0.03433528,0.006576397,0.073162418,0.02471889,0.009383758,0.075339569,0.027846238,0.000526633,0.003121721,0.020256377,-9.03E-05,0.00595507,0.006561615,-9.03E-05,0.020024673
1155,2015-10-12,0.029521055,-9.03E-05,0.043152973,0.034346816,0.031034483,0.023766589,0.044685849,0.012715966,0.029957807,0.040626342,0.037645579,0.042920483,0.040658171,0.050869848,0.018463308,0.025681542,-0.000491232,0.034346816,-0.000716444,0.002703026,0.027417821,0.032400705,0.038204974,0.034435007,0.037262985,0.050869848,0.018825241,0.041472074,0.029645413,-9.03E-05,0.053430857
1156,2015-10-13,-0.001221033,0.028261148,0.002500404,0.012713827,-0.006688963,-0.011740755,-0.01009027,-0.007237054,-0.004757715,-0.007914996,0.014556195,-0.00137893,0.01349343,0.000612471,-0.003435995,0.015350714,0.003920961,0.012713827,0.04878191,0.059334057,0.032350675,-0.028561798,0.045715798,0.001101625,-9.03E-05,0.039965949,0.007954284,0.016736653,-0.007576901,-9.03E-05,-0.010785457
1157,2015-10-14,-0.009858599,-0.023916002,0.085181048,-0.021582053,-0.01010101,-0.004019543,-0.024621295,-0.011718177,-0.023536929,-0.001667557,-0.004570111,-0.027187044,-0.017827755,0.031510854,-0.01239911,-0.032049033,-0.010078284,-0.021582053,-0.023387761,-0.02725942,0.007536332,0.001452146,-0.045027699,-0.002768841,-0.016551175,-0.02036054,-0.018506476,-0.011437788,-0.014098891,-0.019685306,-0.008198378
1158,2015-10-15,0.0212664,0.014902756,-0.002471222,0.021873554,0.015306122,0.01174405,0.025057659,0.02736071,0.021518373,0.055201989,0.01140973,0.031739969,0.023184208,0.014205169,0.011994322,0.035585981,0.016455331,0.021873554,0.016423491,0.024234054,0.099818903,0.025577081,0.008248027,0.0091607,0.022922282,0.034392489,0.011166766,0.044386057,0.016303173,-9.03E-05,0.018983299
1159,2015-10-16,0.014002656,0.049377267,-0.007250175,0.017608845,0.010050251,0.015504272,0.02011175,0.01299588,0.014010788,0.02236482,0.004358568,0.029472712,0.017556789,0.005278858,0.012969431,0.045411015,-0.006441997,0.017608845,0.016756902,0.006066282,0.002662276,-0.001591772,-0.021944966,-0.005116881,0.014224658,0.034576397,0.006094022,0.096521452,0.009587149,-9.03E-05,-9.03E-05
1160,2015-10-19,-0.000871942,-0.007291579,-0.026532578,0.014816562,-0.009950249,-0.011606585,-0.012820114,-0.017851303,-0.011677756,-0.02498046,0.039279809,-0.012574665,-0.027450578,-0.021452086,0.008749509,-0.017793737,0.042658432,0.014816562,-0.023758909,-0.02981055,-0.036873141,-0.015629117,-0.008544376,0.011499626,-9.03E-05,0.010219008,0.012816921,0.000327267,-0.01180486,-9.03E-05,-0.010785457
1161,2015-10-20,0.010228718,-0.002068509,0.014724545,0.007253671,0.010050251,0.003793225,0.019967037,-0.001734106,0.010460726,0.025435256,0.006538518,0.041629073,0.024473914,-0.009640065,-0.004106334,0.014928503,-0.011967665,0.007253671,0.016879427,0.06027009,0.030972711,0.00398305,0.006608877,0.000203502,-9.03E-05,0.014578097,-0.022541726,0.020360481,0.002064902,-9.03E-05,0.008017838
1162,2015-10-21,-0.019252859,-0.043037082,-0.04875207,-0.051123077,-0.03814262,-0.005892978,-0.050652068,0.025705559,0.003390008,0.017479276,-0.073937871,-0.053488328,-0.031799473,-0.018685311,-0.003755959,-0.092075473,-0.063680809,-0.051123077,-0.041210651,-0.079954331,-0.100145549,-0.061956396,-0.099908782,-0.036507304,-9.03E-05,-0.100027416,-0.042300078,-0.097022785,0.002060268,-9.03E-05,-9.03E-05
1163,2015-10-22,0.008588915,0.016823779,0.05361817,0.033200383,0.010344828,-0.007872371,0.013223339,-0.021492089,-0.007026686,0.020053615,0.045618211,0.019140499,0.021874586,0.096751835,-0.003401528,0.038204135,0.047114699,0.033200383,0.010475299,0.047924504,0.032157887,0.012342162,0.024775321,0.008748499,-9.03E-05,0.043205819,0.005742523,0.049728571,-0.010819884,-9.03E-05,0.010633591
1164,2015-10-23,0.009098838,0.007377483,0.004764099,0.019736248,0.010238908,0.005792083,0.010128708,-0.005557739,0.058116948,-0.018425954,0.020793654,0.012488346,0.048366158,-0.001369861,0.012091347,0.011157441,0.033124439,0.019736248,0.037425105,-0.0097819,0.002587504,0.016994621,0.020237599,0.025589488,-9.03E-05,0.009949891,0.009574678,0.006380826,-9.03E-05,-9.03E-05,0.00256225
