,date,sse180,rate,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295.1,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
1,2011-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2011-01-05,-0.003979676,0.00009027,0.058205335,-0.017902813,0.013643254,-0.015267176,-0.01097561,0.017105871,-0.003840246,0.003581662,0.014925373,-0.019020447,0.043807919,0.006831007,0.001107573,-0.018373909,0.002768872,-0.011005136,0.013643254,-0.023571331,-0.016646849,-0.008783487,-0.044150943,0.002973978,-0.018270054,-0.005,0.025706941,-0.006130268,-0.004449388,-0.01010101,0.016542597,-0.028742515
3,2011-01-06,-0.005450751,0.00009027,0.006111536,0,0.035892323,0.001550388,-0.003699137,-0.021818182,-0.00539707,0.026409707,-0.018382353,0.082888997,0.008878128,-0.02359882,0.025169409,0.00327562,-0.028774887,-0.012611276,0.035892323,0.012491228,0.001511487,-0.01107665,-0.012041058,0.005930319,0.002326258,-0.005743001,-0.03091061,-0.052171678,0.003351955,0.00127551,-0.014646054,-0.014796547
4,2011-01-07,0.004825311,0.00009027,-0.013667426,0.005208333,-0.03946102,0.015479876,0.012376238,-0.012546468,0.027131783,0.00069541,0.014981273,0.0129812,-0.0152,-0.01510574,-0.036962094,0.016324627,0.019302708,0.006010518,-0.03946102,-0.026892154,-0.027165711,0.001344086,-0.021178821,-0.014738394,0.017116333,-0.000722022,-0.030747126,-0.004338395,0.012249443,0.006369427,-0.007844756,-0.012515645
5,2011-01-10,-0.017164761,0.00009027,-0.030023095,-0.025906736,-0.01753507,-0.006097561,0.002444988,-0.012235294,-0.017358491,-0.029881862,-0.005535055,-0.000883783,0.002437043,-0.018711656,0.003641967,-0.012849931,0.040369935,-0.035847647,-0.01753507,-0.072079772,-0.008067018,-0.025503356,0.004286589,0.004487659,-0.03051911,-0.028540462,-0.00296472,-0.025326797,-0.02310231,0.005063291,-0.006242197,-0.013941698
6,2011-01-11,0.007551912,0.00009027,0.013492063,0.007978723,0.022437532,0.027607362,0.019512195,0.002858504,0.013056836,0.055873926,0.022263451,-0.009730208,0.009724473,0.000312598,-0.01786462,0.005113901,0.001411034,-0.003872967,0.022437532,0.005373043,-0.024397873,0.012396694,-0.015243902,0.015636634,-0.004118858,0.011528449,-0.033898305,-0.003352892,0.007882883,0.020151134,0.001675042,0.001285347
7,2011-01-12,0.007564857,0.00009027,0.025058731,0.034300792,-0.003990025,0.019402985,0,-0.005225653,0.006065201,0.025101764,0,0.013845467,0.037720706,0.0040625,0.002984226,0.012950971,-0.000845428,0.00622084,-0.003990025,-0.045655825,0.013465854,0.029024943,-0.005572755,-0.001466276,-0.013589365,-0.001838235,0,-0.018783291,0.012290503,0.002469136,-0.007107023,0.001283697
8,2011-01-13,-0.001156053,0.00009027,0.006111536,-0.017857143,-0.02653981,-0.008784773,0.020334928,-0.003820439,-0.005275057,-0.015883521,0.012704174,0.010132159,-0.03866976,0.011204482,0.000708416,-0.003196347,-0.024961218,0.004636785,-0.02653981,0.0352,-0.006327112,0.001322168,-0.0207555,-0.012481645,0.007187781,0.002946593,0.006463527,0.015714286,0.006622517,0.027093596,0.002105263,-0.005128205
9,2011-01-14,-0.016566886,0.00009027,0.012148823,-0.007792208,-0.048868313,-0.008862629,0.007033998,-0.020613615,-0.011363636,0.00134499,-0.003584229,-0.004797209,0.009654063,-0.026161896,-0.048421351,-0.018323408,-0.001880243,-0.006923077,-0.048868313,-0.014837713,-0.045208532,-0.048855634,-0.026918186,0.004460967,-0.013975617,0,-0.039755352,-0.014908579,-0.015350877,-0.011990408,-0.036134454,-0.032216495
10,2011-01-17,-0.035047744,0.00009027,-0.006751688,-0.039267016,-0.0394808,-0.026825633,-0.023282887,-0.06020558,-0.02605364,-0.086635326,-0.014388489,-0.052585451,-0.016733068,-0.063211125,-0.039577444,-0.0209986,-0.046804811,-0.057319907,-0.0394808,-0.028867273,-0.043347783,-0.042110134,-0.03790024,0.007401925,-0.034680338,-0.089974293,-0.033757962,-0.008566533,-0.033407572,-0.003640777,-0.040540541,-0.03861518
